Altium Designer Pick and Place Locations
E:\eHorglass\1.Hardware\eHorglass-PRJ\Project Outputs for eHorglass\Pick Place for eHorglass.csv

========================================================================================================================
File Design Information:

Date:       26/02/24
Time:       15:59
Revision:   7d12eba7fbdf2646bbd708ec8c3217afb0b22985
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R17","22R","BottomLayer","R0603_M","181.102","905.509","90","贴片电阻"
"R16","22R","BottomLayer","R0603_M","110.236","905.509","90","贴片电阻"
"R15","1K5","BottomLayer","R0603_M","433.074","807.087","180","贴片电阻"
"R14","10K","BottomLayer","R0603_M","1185.002","3399.998","135","贴片电阻"
"USBC1","TYPE-C 2.0 -16P","BottomLayer","USB-C-SMD_16P","157.480","590.551","270","USB2.0_Type-C_16Pin母座"
"R13","4.7K","BottomLayer","R0603_M","1059.998","2545.002","315","贴片电阻"
"R12","4.7K","BottomLayer","R0603_M","1136.575","2416.575","225","贴片电阻"
"R11","1K","BottomLayer","R0603_M","1346.460","338.583","180","贴片电阻"
"R10","10K","BottomLayer","R0603_M","1279.998","3305.002","315","贴片电阻"
"LED3","RED","BottomLayer","LED0603_R","1346.460","401.573","180","贴片LED"
"X1","8MHz","BottomLayer","OSC-5032-2P","944.882","3464.567","225","2脚无源晶振(谐振器）"
"R9","10K","BottomLayer","R0603_M","909.998","2950.002","315","贴片电阻"
"C21","20pF","BottomLayer","C0603_M","1104.998","3464.998","45","贴片电容/MLCC电容"
"C20","20pF","BottomLayer","C0603_M","830.002","3505.002","225","贴片电容/MLCC电容"
"C8","100nF","BottomLayer","C0603_M","820.002","3039.998","135","贴片电容/MLCC电容"
"C7","100nF","BottomLayer","C0603_M","849.998","3204.998","45","贴片电容/MLCC电容"
"C6","100nF","BottomLayer","C0603_M","1175.002","2830.002","225","贴片电容/MLCC电容"
"C5","100nF","BottomLayer","C0603_M","1374.998","3210.002","315","贴片电容/MLCC电容"
"U1","STM32F103C8T6","BottomLayer","LQFP48_N","1102.362","3110.236","315","STM32 ARM-based 32-bit MCU Performance Line with 64 kB Flash, 20 kB Internal RAM, -40 to +85癈 Temperature, 48-Pin LQFP, Tray"
"SW1","3x6x5","BottomLayer","SW_SMD-3*6*2.5","565.540","3418.904","135","3x6轻触开关"
"JP1","Header 5X2","BottomLayer","HDR2.54-LI-2x5P","1614.173","2992.126","90","5*2P接插件"
"C3","100nF","BottomLayer","C0603_M","651.575","3508.425","315","贴片电容/MLCC电容"
"C4","100nF","BottomLayer","C0603_M","1014.998","3374.998","45","贴片电容/MLCC电容"
"U5","HT7533","BottomLayer","SOT89_N","1259.842","157.480","180","LDO线性稳压芯片"
"SP4","M3铜柱","BottomLayer","M3x20+6_N","1614.173","3425.197","180","铜柱"
"SP3","M3铜柱","BottomLayer","M3x20+6_N","196.850","3425.197","180","铜柱"
"SP2","M3铜柱","BottomLayer","M3x20+6_N","1614.173","196.850","180","铜柱"
"SP1","M3铜柱","BottomLayer","M3x20+6_N","196.850","196.850","180","铜柱"
"S1","KCD1-101","BottomLayer","HDR2.54-LI-2P","1732.284","551.181","90","1路单刀船型开关"
"JP2","HDR-1X2","BottomLayer","XH2.54-LI-2P","531.496","157.480","180","2P接插件"
"U4","MPU6050","BottomLayer","QFN24-P50","905.512","2322.835","135","三轴加速度+三轴陀螺仪"
"U3","MAX7219","BottomLayer","SOIC-24W","669.291","2677.165","135","8位 LED驱动器"
"U2","MAX7219","BottomLayer","SOIC-24W","984.252","1102.362","135","8位 LED驱动器"
"R8","5.1K","BottomLayer","R0603_M","433.074","622.047","180","贴片电阻"
"R7","5.1K","BottomLayer","R0603_M","433.074","559.055","180","贴片电阻"
"R6","20K","BottomLayer","R0603_M","255.908","2736.218","135","贴片电阻"
"R5","20K","BottomLayer","R0603_M","767.714","1314.958","45","贴片电阻"
